civilization,year,year_type,population,trade_volume,price_level,coin_quality,state_revenue,wealth_gini,urban_population,conflict_frequency
Abbasids,750,CE,50.0,200.0,100.0,0.95,100.0,0.30,70.0,0.1
Abbasids,800,CE,80.0,300.0,110.0,0.94,120.0,0.32,75.0,0.1
Abbasids,850,CE,100.0,400.0,120.0,0.93,140.0,0.35,80.0,0.1
Abbasids,900,CE,110.0,450.0,130.0,0.92,150.0,0.38,82.0,0.2
Abbasids,950,CE,105.0,420.0,140.0,0.90,140.0,0.40,80.0,0.3
Abbasids,1000,CE,90.0,380.0,150.0,0.88,120.0,0.42,78.0,0.3
Abbasids,1050,CE,80.0,350.0,160.0,0.85,110.0,0.45,75.0,0.4
Abbasids,1100,CE,70.0,300.0,170.0,0.82,100.0,0.48,70.0,0.4
Abbasids,1150,CE,60.0,250.0,180.0,0.80,90.0,0.50,65.0,0.5
Abbasids,1200,CE,50.0,200.0,190.0,0.78,80.0,0.52,60.0,0.5
Abbasids,1250,CE,40.0,150.0,200.0,0.75,70.0,0.55,55.0,0.6
