civilization,year,year_type,population,trade_volume,price_level,coin_quality,state_revenue,wealth_gini,urban_population,conflict_frequency
Medina,622,AH,10.0,80.0,100.0,0.98,10.0,0.30,60.0,0.1
Medina,623,AH,12.0,90.0,101.0,0.97,12.0,0.28,62.0,0.0
Medina,624,AH,15.0,100.0,100.5,0.96,15.0,0.25,65.0,0.0
Medina,625,AH,18.0,110.0,102.0,0.97,18.0,0.28,67.0,0.1
Medina,626,AH,20.0,120.0,103.0,0.98,20.0,0.30,70.0,0.2
Medina,627,AH,22.0,130.0,104.0,0.97,22.0,0.32,72.0,0.3
Medina,628,AH,25.0,140.0,105.0,0.96,25.0,0.31,73.0,0.2
Medina,629,AH,28.0,150.0,104.5,0.97,28.0,0.30,75.0,0.1
Medina,630,AH,30.0,160.0,106.0,0.98,30.0,0.29,76.0,0.1
Medina,631,AH,32.0,170.0,107.0,0.97,32.0,0.28,78.0,0.0
Medina,632,AH,35.0,180.0,108.0,0.96,35.0,0.30,80.0,0.1
Medina,633,AH,38.0,190.0,109.0,0.97,38.0,0.29,81.0,0.0
Medina,634,AH,40.0,200.0,110.0,0.98,40.0,0.28,82.0,0.1
Medina,635,AH,42.0,210.0,111.0,0.97,42.0,0.30,83.0,0.2
Medina,636,AH,45.0,220.0,112.0,0.96,45.0,0.31,84.0,0.1
Medina,637,AH,48.0,230.0,113.0,0.97,48.0,0.30,85.0,0.1
Medina,638,AH,50.0,240.0,114.0,0.98,50.0,0.29,86.0,0.0
Medina,639,AH,52.0,250.0,115.0,0.97,52.0,0.28,87.0,0.1
Medina,640,AH,55.0,260.0,116.0,0.96,55.0,0.30,88.0,0.1
Medina,641,AH,58.0,270.0,117.0,0.97,58.0,0.29,89.0,0.0
Medina,642,AH,60.0,280.0,118.0,0.98,60.0,0.28,90.0,0.1
Medina,643,AH,62.0,290.0,119.0,0.97,62.0,0.30,91.0,0.2
Medina,644,AH,65.0,300.0,120.0,0.96,65.0,0.31,92.0,0.1
Medina,645,AH,68.0,310.0,121.0,0.97,68.0,0.30,93.0,0.1
Medina,646,AH,70.0,320.0,122.0,0.98,70.0,0.29,94.0,0.0
Medina,647,AH,72.0,330.0,123.0,0.97,72.0,0.28,95.0,0.1
Medina,648,AH,75.0,340.0,124.0,0.96,75.0,0.30,96.0,0.1
Medina,649,AH,78.0,350.0,125.0,0.97,78.0,0.29,97.0,0.0
Medina,650,AH,80.0,360.0,126.0,0.98,80.0,0.28,98.0,0.1
Medina,651,AH,82.0,370.0,127.0,0.97,82.0,0.30,98.0,0.2
Medina,652,AH,85.0,380.0,128.0,0.96,85.0,0.31,99.0,0.1
Medina,653,AH,88.0,390.0,129.0,0.97,88.0,0.30,99.0,0.1
Medina,654,AH,90.0,400.0,130.0,0.98,90.0,0.29,100.0,0.0
Medina,655,AH,92.0,410.0,131.0,0.97,92.0,0.28,100.0,0.1
Medina,656,AH,95.0,420.0,132.0,0.96,95.0,0.30,100.0,0.2
Medina,657,AH,98.0,430.0,133.0,0.97,98.0,0.29,100.0,0.1
Medina,658,AH,100.0,440.0,134.0,0.98,100.0,0.28,100.0,0.0
Medina,659,AH,102.0,450.0,135.0,0.97,102.0,0.30,100.0,0.1
Medina,660,AH,105.0,460.0,136.0,0.96,105.0,0.31,100.0,0.1
Medina,661,AH,108.0,470.0,137.0,0.97,108.0,0.30,100.0,0.0
