civilization,year,year_type,population,trade_volume,price_level,coin_quality,state_revenue,wealth_gini,urban_population,conflict_frequency
Soviet,1917,CE,180.0,100.0,100.0,0.50,50.0,0.35,30.0,0.1
Soviet,1920,CE,170.0,90.0,120.0,0.45,40.0,0.38,32.0,0.2
Soviet,1930,CE,190.0,120.0,140.0,0.48,60.0,0.36,35.0,0.1
Soviet,1940,CE,200.0,140.0,160.0,0.50,70.0,0.34,38.0,0.1
Soviet,1950,CE,210.0,160.0,180.0,0.52,80.0,0.32,40.0,0.1
Soviet,1960,CE,220.0,180.0,200.0,0.55,90.0,0.30,42.0,0.1
Soviet,1970,CE,230.0,200.0,220.0,0.58,100.0,0.28,45.0,0.1
Soviet,1980,CE,240.0,220.0,250.0,0.60,110.0,0.26,48.0,0.1
Soviet,1985,CE,245.0,230.0,280.0,0.62,115.0,0.25,50.0,0.2
Soviet,1990,CE,248.0,220.0,320.0,0.58,110.0,0.30,52.0,0.3
Soviet,1991,CE,250.0,210.0,350.0,0.55,100.0,0.35,53.0,0.4
